Finished,Q1,Q1_7_TEXT,Q2,Q11,Q12,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_11_TEXT,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9
TRUE,Ph.D Candidate,,Full-time student,,3,Teaching and Learning,No,Slightly knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Extremely knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Would NOT attend,Might attend,Might attend,Might attend,Would attend,Would attend,Might attend,Would attend,Would attend,Would NOT attend,,,"In-person taught by instructor,Webinar,Small interest group,Online learning/research community",,,,,,"E-Mail,Facebook,Flyer"
TRUE,Ph.D Candidate,,Full-time student,,5,Spanish and Portuguese Studies,No,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would attend,Would attend,Would attend,Might attend,Would attend,Might attend,Might attend,Might attend,Might attend,Might attend,,,In-person taught by instructor,"Afternoon,Evening","Morning,Midday,Afternoon,Evening","Afternoon,Evening","Morning,Midday,Afternoon,Evening","Afternoon,Evening","E-Mail,Facebook"
TRUE,Faculty Member,,,,,Human Development and Organizational Studies in Education,No,Extremely knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Would NOT attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Would NOT attend,Might attend,Would NOT attend,,,"Online information portal,Online video/tutorial or course",,,,"Morning,Afternoon","Morning,Afternoon",E-Mail
TRUE,Faculty Member,,,,,Wildlife Ecology and Conservation,Yes,Moderately knowledgeable,Extremely knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Would NOT attend,Would NOT attend,Might attend,Might attend,Would NOT attend,Might attend,Would NOT attend,Might attend,Might attend,Would NOT attend,,,In-person taught by instructor,,,,,,E-Mail
TRUE,Postgraduate Researcher,,,,,Political Science,Yes,Moderately knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Might attend,Might attend,Might attend,Might attend,Might attend,Would attend,Would attend,Might attend,Might attend,Might attend,,,"Online information portal,Online video/tutorial or course,Online learning/research community","Morning,Midday,Afternoon,Evening","Morning,Midday,Afternoon,Evening","Morning,Midday,Afternoon,Evening","Morning,Midday,Afternoon,Evening","Morning,Midday,Afternoon,Evening",E-Mail
TRUE,Ph.D Candidate,,Full-time student,,3,Nuclear Engineering,No,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Might attend,Would attend,Might attend,Would attend,Might attend,Would attend,Would attend,Would attend,Would attend,Would attend,,,"In-person taught by instructor,Online video/tutorial or course,Webinar,Online learning/research community","Midday,Afternoon","Midday,Afternoon","Midday,Afternoon",Afternoon,"Midday,Afternoon","E-Mail,Facebook"
TRUE,Faculty Member,,,,,"Educational Leadership, Policy and Foundations",Yes,Extremely knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Would NOT attend,Would NOT attend,Would NOT attend,Would attend,Would NOT attend,Would attend,Would attend,Would attend,Would attend,Would attend,,,In-person taught by instructor,Morning,Morning,Morning,Morning,Morning,E-Mail
TRUE,Postgraduate Researcher,,,,,Statistics,Yes,Extremely knowledgeable,Extremely knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Might attend,Would NOT attend,Might attend,Would attend,Would attend,Might attend,Would NOT attend,Would attend,Would NOT attend,Would attend,,,"In-person taught by instructor,Small interest group,Online learning/research community",Morning,"Morning,Midday,Afternoon,Evening",Morning,"Morning,Midday,Afternoon,Evening",Morning,"E-Mail,Informatics Institute Website,Facebook,Twitter"
TRUE,Faculty Member,,,,,Wildlife Ecology and Conservation,No,Moderately knowledgeable,Not knowledgeable at all,Moderately knowledgeable,Not knowledgeable at all,N/A,N/A,N/A,N/A,Slightly knowledgeable,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Might attend,,,"In-person taught by instructor,Online information portal,Online video/tutorial or course",Midday,Midday,Midday,Midday,Midday,E-Mail
TRUE,Master's Candidate,,Full-time student,,2,Information Systems and Operations Management,No,Slightly knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Might attend,,"In-person taught by instructor,Online information portal","Afternoon,Evening","Afternoon,None",,"Midday,Evening","Afternoon,Evening","E-Mail,Informatics Institute Website"
TRUE,Master's Candidate,,Part-time student,,1,Soil and Water Science,No,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Slightly knowledgeable,Would NOT attend,Would attend,Might attend,Would attend,Would NOT attend,Might attend,Would attend,Might attend,Might attend,Would NOT attend,,,Online learning/research community,Evening,,,Evening,"Morning,Afternoon,Evening",E-Mail
TRUE,Ph.D Candidate,,Full-time student,,5,Mechanical and Aerospace Engineering,No,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would NOT attend,Would attend,Would attend,Would attend,Might attend,Would attend,Would attend,Would attend,Would attend,Would attend,,,"In-person taught by instructor,Online information portal,Online video/tutorial or course,Webinar,Online learning/research community",,,,Evening,Evening,E-Mail
TRUE,Postgraduate Researcher,,,,,Wildlife Ecology and Conservation,No,Moderately knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Extremely knowledgeable,Would NOT attend,Would attend,Would attend,Would attend,Would NOT attend,Would attend,Would attend,Might attend,Would attend,Would NOT attend,Would attend,Bamm,"In-person taught by instructor,Online information portal,Online video/tutorial or course,Webinar","Morning,Afternoon,Evening","Morning,Afternoon,Evening","Morning,Afternoon,Evening","Morning,Afternoon,Evening","Morning,Afternoon,Evening",E-Mail
TRUE,Ph.D Candidate,,Full-time student,,3,Human Development and Organizational Studies in Education,No,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,,,"In-person taught by instructor,Online information portal,Online video/tutorial or course,Webinar,Online learning/research community","Morning,Evening","Morning,Evening","Morning,Evening","Morning,Evening","Morning,Evening",E-Mail
TRUE,Undergraduate Student,,Full-time student,Sophomore,,"Finance, Insurance and Real Estate",No,Moderately knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would NOT attend,Might attend,Might attend,Might attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,,,"In-person taught by instructor,Online video/tutorial or course,Webinar",Afternoon,Afternoon,Afternoon,Morning,Afternoon,E-Mail
TRUE,Faculty Member,,,,,Wildlife Ecology and Conservation,No,Moderately knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Slightly knowledgeable,Would NOT attend,Would NOT attend,Might attend,Might attend,Would NOT attend,Might attend,Might attend,Might attend,Would attend,Might attend,,,"In-person taught by instructor,Small interest group",,Afternoon,,Afternoon,,E-Mail
TRUE,Master's Candidate,,Full-time student,,1,Information Systems and Operations Management,No,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,,"In-person taught by instructor,Online information portal,Online video/tutorial or course,Webinar,Small interest group,Online learning/research community",None,"Morning,Midday,Afternoon,Evening",None,"Morning,Midday,Afternoon,Evening","Morning,Afternoon,Evening","E-Mail,Facebook"
TRUE,Faculty Member,,,,,Nursing,No,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Moderately knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Might attend,Would NOT attend,Might attend,Might attend,,,Online video/tutorial or course,Evening,Evening,Evening,Evening,Evening,E-Mail
TRUE,Master's Candidate,,,,2,Industrial and Systems Engineering,No,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Would NOT attend,Might attend,Would NOT attend,Might attend,,Would attend,Would attend,Would attend,Would attend,Would attend,,,"In-person taught by instructor,Online information portal,Online video/tutorial or course,Webinar,Small interest group,Online learning/research community",,,,Evening,"Afternoon,Evening",E-Mail
TRUE,Undergraduate Student,,Full-time student,Senior,,Economics,No,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would attend,Would attend,Would attend,Would attend,Might attend,Might attend,Would attend,Would attend,Might attend,Might attend,,,"In-person taught by instructor,Webinar,Small interest group",Evening,"Morning,Evening",Evening,Evening,"Morning,Afternoon","E-Mail,Facebook"
